ID Degustazione,ID Vino,Data Degustazione,Luogo Degustazione,Valutazione,Degustazione Visiva,Degustazione Olfattiva,Degustazione Gustativa,Degustazione Giudizio Generale,Prezzo,Foto Etichetta,Foto Retro Etichetta
324,230,27/03/2023,Richard Ginori & Moet  - Firenze,"4,5/5",dorato acceso,"apre floreale, poi balsamico e poi burro e successivamente crouissant e pasticceria, una bellissima evoluzione",una freschezza di grande piacere con conferma di quanto al naso. Sapido e minerale con una bolla di grande eleganza. Grande beva,"grande champagne, da berne a bottiglie",,,
325,231,15/12/2023,Venturini Baldini - Intarget,"4-4,5/5",giallo paglierino,"complessità aromatica di frutto dal bianco al rosso, agrume, gesso, fumè, pasticceria","fresco e sapido, bolla fine ma fragrante, agrume di pompelmo, ottima persistenza",bella complessità ma anche facile per palati non particolarmente esperti. Grande bevibilità,,,
326,231,21/04/2025,Casa,"4-4,5/5",paglierino dorato,"complesso ed equilibrato, frutta rossa e bianca, agrume, floreale, gesso, pasticceria delicata","fresco e sapido, minerale, fruttato e agrumato, ottima struttura e persistenza ottimamente equilibrato e grande bevibilità",ottimo! De bere in ogni situazione,,,
327,232,19/05/2023, Tour Champagne Society - La Caserne Chanzy,"3,5-4/5",,molto bello di Caffé in polvere con fumè molto piacevole. ,molto fresca e conferma il gusto di caffè,"Alla cieca una grande sorpresa, base 1999 imbottigliata nel 2002.",,,
328,233,12/03/2022,casa,3/5,,,,,,,
329,233,22/12/2022, intarget,3/5,,,,,,,
330,233,03/03/2023,Via dei Guinceri,3/5,,fresco e agrumato con sentori di frutta rossa e bianca. ,conferma la freschezza solo più tenue.,"Si conferma bottiglia adattissima a bevuta non impegnativa ma soddisfacente, ciò che si cerca nello champagne, e adatta a qualunque tipo di persona.",,,
331,233,29/03/2023,intarget Polo,3/5,,"bello il frutto bianco, il leggero fumè, l’agrume e l’evoluzione verso la pasticceria","equilibrato, fresco, non stanca al berlo e andresti ad oltranza",si conferma champagne base di grande qualit,,,
332,233,09/04/2023,Villa Palla,3/5,,"premettendo che i flout non erano ottimali, forse neppure sufficienti, comunque si conferma un bel naso, Agrume, ricco di frutta rossa e poi gialla, arriva poi un po’ di pietra focaia","fresco e bella bolla, con ottima bevibilita",si conferma un base di maison di ottima qualità,,,
333,233,08/06/2023,Intarget Polo,3/5,,,,,,,
334,233,25/12/2023,Casa Palla,  3/5,giallo paglierino con riflessi dorati,"frutta bianca, gialla, rossa, note di agrume di pompelmo e mandarino, leggera pietra focaia, burro, crema chantilly e pasticceria","fresco e sapido, frutta candita, bella bevibilità,","bella bottiglia di maison, ottima persistenza e bevibilità, molto valido per bevitori non esperti",,,
335,234,21/01/2023, Villa Palla,3/5,,,,,,,
336,234,12/03/2023,Arnaldo - Rubiera,3/5,,,,Con tutti i se e i ma comunque lo trovo dignitoso e bevibile come bottiglia da bere con chi non apprezza le differenze,,,
337,235,18/12/2022,Chamapagne Society Rubiera,"2,5-3/5",,,,,,,
338,236,16/12/2022,Festa Natale intarget,"2,5-3/5",,,,,,,
339,237,27/03/2023,Richard Ginori & Moet  - Firenze,"3,5-4/5",,bella frutta con evoluzione al fumè e poi pasticceria,"bella freschezza con bolla croccante, sapido ed equilibrato. Molto piacecole","una bella bevuta, particolare sia per aperitivo ma credo anche a tavola",,,
340,237,12/10/2024,casa,"3,5-4/5",giallo paglierino caldo,"bouquet di frutti dal bianco al giallo e al rosso, mineralita, crosta di pane, pasticceria","fresco e sapido, bolla un po’ troppo esplosiva, ottima struttura e persistenza","bella bottiglia, magari migliora ancora aspettandolo 4/5 anni post sboccatura?",,,
341,238,15/12/2023,Venturini Baldini - Intarget,"3,5-4/5",giallo paglierino carico,"fragranze di frutta dalla bianca alla rossa, mineralita e pasticceria","fresco e sapido, buona persistenza","bella bottiglia da pasto ma anche aperitivo e anche da solo, buona struttura aromatica e ottima persistenza",,,
342,238,05/05/2024,Casa,"3,5-4/5",giallo dorato,"frutta bianca e gialla anche matura, agrume, floreale, crosta di pane, pasticceria","fresco e sapido, bolla fragrante ma elegante, leggero amaricante,",buono e ben fatto,,,
343,239,11/11/2022,Louis Vuitton Boutique Forte dei Marmi,"3,5-4/5",,,,,,,
344,239,23/02/2024, Intarget - Polo,"3,5-4/5",rosa intenso con sfumature ramate,"frutti rossi e fragole selvatiche, spezia (zafferano), pasticceria, nel complesso bella complessità aromatica","fresco e sapido, potente e voluminoso ma chiaro e netto, tannini nobili in perfetto equilibrio, aromi di zafferano, pasticceria e mandorle, grande bevibilità","ottima fattura da grande maison, bottiglia piacevole, da qualunque contesto, aperitivo, tavola ma anche in piacevole conversazioni da salotto",,,
345,240,19/02/2022,Casa,2/5,,,,,,,
346,240,20/02/2022,Casa,2/5,,,,,,,
347,240,05/03/2022,Casa,2/5,,,,,,,
348,241,11/12/2024,Champagne Society,3/5,giallo paglierino,"burro, poi pera che poi vira sul candito","fresco e sapido, buona struttura e persistenza, aromatico sulla pera, bolla troppo",buono,,,
349,242,16/10/2022,Champagne Society - Osteria del Viandante,3/5,,,,,,,
350,243,20/10/2024,MCE - Champagne Society,"2,5-3/5",,,,,,,
351,244,16/10/2022,Champagne Society - Osteria del Viandante,3/5,,,,,,,
352,245,10/09/2024,Via di Guinceri,4/5,giallo paglierino acceso,"complesso e coinvolgente, agrume, frutta bianca e gialla, floreale, pietra focaia, minerale, pasticceria","fresco e sapido, ottima struttura e persistenza, bolla di grande equilibrio, ottima bevibilità",ottimo in aperitivo e da tavola ma anche da solo,,,
353,246,28/01/2023,La Tortuga (bottiglia mia),4/5,,,,,,,
354,247,11/01/2025,Casa,"3,5-4/5",giallo paglierino,"frutta bianca, floreale, gesso, delicata pasticceria","fresco e sapido, gesso, frutta secca, bella struttura e buona persistenza ma non lunghissimo","bella bottiglia ma manca qualcosina negli equilibri, da capire se questa bottiglia o l’annata",,,
355,248,11/12/2024,Champagne Society,"4-4,5/5",giallo paglierino,"agrume, frutta bianca, gesso, pasticceria delicata","fresco, salino, dritto, ottima struttura e persistenza, note aromatiche di agrume","dritto e identitario, quanto mi piace",,,
356,249,08/03/2024,Casa,4/5,giallo paglierino,"molto bello e delicato, agrume, frutta bianca, gesso, pasticceria","fresco e sapido, bolla elegante, persistente, bella bocca","ottimo champagne, di grande classe, da aperitivo, tavola, ma anche da solo",,,
357,250,16/06/2024,Casa,"4,5/5","giallo paglierino caldo, bolla fine ed elegante","complesso con note evolutive presenti ma molto gradevoli, dalla frutta al floreale, al minerale, nota balsamica, leggero sentore di spezia, pasticceria.","fresco e sapido, note evolutive anche in bocca, ottima struttura e persistenza, bolla delicata ma presente ed elegante",coinvolgente,,,
358,251,25/05/2024,A Bimbotto,"3-3,5/5",giallo dorato,"frutta bianca, agrume, note cremose (malolatrica?)","fresco e sapido, di struttura, ritrovi i profumi negli aromi in reteonasale",bicchiere non ideale ma volevo provare questo produttore che avevo già visto in carta da A Bimbotto e ho trovato un prodotto classico ma bevibile. Zona Massif de Saint Thierry quindi su argilla e sabbia,,,
359,252,17/08/2022,Casa,"3,5-4/5",,,,,,,
360,252,18/12/2022,Chamapagne Society Rubiera,"3,5-4/5",,,,,,,
361,252,25/03/2023,Casa,"3,5-4/5","giallo paglierino vivo, prossimo al dorato","frutta bianca, ananas, zenzero candito, agrume, leggero ma fine ed elegante,","fresco, leggera mineralita e sapidità lo rendono molto equilibrato, buona persistenza e in retro assale conferma olfatto, dinamico, con bella bolla fragrante ma elegante","è il mio vigneron, anche se il suo ingresso una bottiglia che amo aprire",,,
362,252,20/08/2023,Casa Carezza,"3,5-4/5",giallo paglierino carico,"agrume di pompelmo, frutta gialla e rossa, poi burro e crosta di pane e frutta secca, soprattutto mandorla","fresco e sapido, un agrume (pompelmo) che persiste e stimola la bevuta, fragrante, complesso.","si conferma un ottimo champagne d’ingresso, ottimo per aperitivo e si spinge anche a tavola.",,,
363,252,14/01/2024,Casa,"3,5-4/5",giallo dorato,"fruttato, agrume, bianca, gialla e rossa, leggera pasticceria","fresco e sapido, nota dolce per fortuna contrastata da bella acidità che sostiene la bevibilità",buon champagne anche se nota dolce un po’ troppo spinta,,,
364,252,31/07/2024,Casa Palla,"3,5-4/5",giallo paglierino,"frutta bianca e gialla con leggere note tropicali, pasticceria elegante","fresco e sapido, buona struttura e persistenza, alta bevibilità","sboccatura 21. Si conferma l’ottimo champagne artigianale, classico ma di grande piacevolezza",,,
365,253,14/01/2023,casa,"4-4,5/5",,,,,,,
366,253,01/04/2023,casa,"4-4,5/5",giallo paglierino,"frutto rosso, minerale, pasticceria, burro, fume","intenso, fine e dritto, bella freschezza che ti invita a berlo e riberlo, conferma il naso con anche leggera nocciola (o noce?)","grande bottiglia, conferma la mia predilezione per questo vigneron du garage",,,
367,253,06/10/2023,Casa,"4-4,5/5","giallo paglierino acceso, bolla elegante","agrume, frutta bianca e gialla, pasticceria, naso di grande equilibrio","fresco, sapido, fragrante ma elegante, nota dolce ma piacevole, equilibrato, nota di mandorla","veramente buono, particolarmente con salame e appetizer di carne e formaggi stagionati",,,
368,253,16/03/2024,Casa,"4-4,5/5",giallo dorato,"bouquet olfattivo complesso dalla frutta bianca alla rossa, frutta candita, pasticceria","fresco e sapido, complessità aromatica, ottima struttura, persistente e di ottima bevibilità","divertente e celebrale, una storia fantasy",,,
369,253,08/12/2024,Casa,"4-4,5/5",giallo dorato,bello di agrumi e frutta bianca,"fresco e sapido, bolla potente ma equilibrata, belle fragranze aromatiche, ottima struttura e persistenza","(sboccatura 09/2021?) si conferma un ottimo champagne, classico ma identitario nella sua produzione artigianale",,,
370,254,18/05/2024,Casa,"4,5-5/5","giallo dorato, bolla raffinata e rasente la perfezione, quasi ipnotica","complesso, profondo, coinvolgente ma non celebralmente difficile, di quei prodotti che danno piacere e soddisfazione dall’appassionato al non appassionato. Frutta da fresca a matura, da bianca a gialla e rossa, agrume, speziature dolci e delicate di zenzero e leggerissimo zafferano, minerale, crema e pasticceria ma sempre delicata e equilibrata","tripudio di eleganza gustativa, freschezza e mineralita, bolla sensuale, struttura e persistenza",grande!,,,
371,255,09/11/2022,Affinatore Milano,"4,5-5/5",,,,,,,
372,256,22/03/2024,Champagne Society - Sacre Burger - Epernay,"3,5-4/5",giallo dorato,"frutta gialla e punta rossa, agrume e crema e pasticceria leggera ma bella, complesso","fresco e sapido, aroma di frutta secca tra mandorla e nocciola, lungo e di buona struttura","molto interessante, bello definito, gastronomico. Riesce a dare al Meunier molta freschezza.",,,
373,257,14/02/2023,La Sosta del Cavaliere,"3,5-4/5",,"note di frutta secca, miele, pasticceria, fragranze floreali e minerali",vino complesso ma ancora in forma grazie ad una acidità ed una bolla ancora ben presente,"10 anni sui lieviti, degorgiato 10/2014, blanc de Noirs della Valle de la Marne, con . Veramente buono",,,
374,258,01/10/2022,La Sosta del Cavaliere,"3,5-4/5",,,,,,,
375,258,13/09/2023,Erba Luigia - Pisa,"3,5-4/5","giallo dorato, bolla fine","terziari dominano, miele, smalto, crosta di pane, frutta rossa e agrume pompelmo","fresco, sapido, agrume pompelmo, di struttura e persistente",Considerazioni: bottiglia degorgiato 2017 e si sente per le note terziarie comunque di qualità,,,
376,259,28/06/2023,Champagne Society - Bu:r,4/5,giallo d’orato,frutta e agrume che si rincorrono con una pasticceria di grande piacere,fresco ma sapido e con leggera nota amara di mandorla con nota dolce ma non stucchevole che riscontro tipica in Beaufort,"è lui, bello dosato ma di assoluto piacere",,,
377,260,15/06/2024,Casa Mamma,4/5,giallo dorato,"frutta rossa, gialla e bianca, agrume, minerale, pasticceria","fresco e sapido, bella struttura e persistenza, bella bevibilità",veramente buono,,,
378,261,12/11/2023,Casa Mamma,3/5,Vista: giallo dorato,"Naso: frutta rossa e agrume, leggera pasticceria e un minimo di spezia","Bocca: fresco e sapido, con bell’agrume. Unico neo la carbonica un po’ troppo spinta",Considerazioni: buono da aperitivo,,,
379,262,19/01/2022,Migone Genova,3/5,,,,,,,
380,263,18/12/2024,Nicola Gatta,"4,5/5",giallo paglierino,"complesso e coinvolgente, agrumato e fruttato, note di pasticceria","fresco e sapido, di grande struttura e persistenza, bevibilità ottima","da non credere all'etichetta, sembra un vino giovane, grande bevuta",,,
381,264,05/03/2025,Chi C'è C'è - Champagne Society,4/5,paglierino,"agrume, frutta e pasticceria","fresco e salato, struttura e persistenza, agrumato",vino anomalo ma identitario e coinvolgente,,,
382,265,16/11/2024,Polo Tecnologico,"3,5-4/5",giallo dorato,"complesso, richiama Krug per la polvere da sparo, agrume e pasticceria","fresco e sapido con una bella e marcata nota agrumato di limone che spinge la bevibilità, molto buona la persistenza ma manca di struttura, di ciccia, presente la spina dorsale acida ma manca di corpo","bella bottiglia, identitaria ma forse passata, sono curioso di provare la 17 e soprattutto la 19",,,
383,266,27/04/2022,Champagne Society (Rubiera),?/5,,,,,,,
384,267,09/03/2022,Top Missori,2/5,,,,,,,
385,268,18/12/2022,Chamapagne Society Rubiera,"2,5/5",,,,,,,
386,269,14/04/2025,Le Wine Bar - Reims,0/5,,,,"Nota dolce che rende difficile la beva, non edibile",,,
387,270,21/03/2024,Champagne Society - Les Avizese,"3,5-4/5",giallo dorato (ma è chardonnay in purezza),"formaggio, poi burro, si apre con il tempo in calice (forse troppo frigo)","complesso e molto buono, opulento e non più di un bicchiere ma merita, lungo",da meditazione,,,
388,271,27/10/2023,Confine - Champagne Society,"2,5-3/5",giallo paglierino e riflessi rossi,"agrume e frutta da bianca a rossa, crosta di pane, pasticceria",fresco e sapido,classico bland,,,
389,272,24/10/2023,Confine - Champagne Society,"2,5/5",giallo dorato,,"fresco, sapido,",,,,
390,273,12/10/2022,bu:r Champagne Society,"2,5/5",,,,,,,
391,274,07/09/2023, Les Avises - Champagne Society,3/5,giallo paglierino,"frutta bianca matura e agrume, burro e crosta di pane","fresco e sapido, bella bolla e persistenza. Di buona struttura",interessante anche se non è cote de blancs,,,
392,275,15/10/2023,Rubiera - Champagne Society,"3,5-4/5",dorato,"agrume, frutta rossa, peperone, spezia, troppo incisivo il legno, ancora ha bisogno di bottiglia,","fresco, sapido, manca di struttura della 2018",buono ma ancora deve crescere e lo potrà fare,,,
393,275,24/10/2023,Confine - Champagne Society,"3,5-4/5",giallo paglierino con riflessi dorati,"agrume, frutta secca, frutta rossa, pasticceria, biscotto, burro","fresco e sapido, bellissimo agrume, bolla potente ma elegante, bella lunghezza","PN base 2018, ottima gestione del legno, magnum,",,,
394,276,23/03/2024,Champagne Society - Le Wine Bar - Reims,"3,5-4/5",,"frutta bianca, minerale e pasticceria","fresco e sapido, buona struttura e persistenza",buona bottiglia,,,
395,277,19/10/2024,Exe Fiorano - Champagne Society,"3,5-4/5",giallo dorato con riflessi rossi,"frutta rossa con leggera nota agrumata, Pasticceria e crema di vaniglia, il legno non mi sembra ancora assorbito","fresco agrumato, sapido, buona struttura e ottima persistenza, buona bevibilità",molto buona ma lo aspetterei ancora,,,
396,278,13/02/2025,Remedy,4/5,,"rilascia raffinati profumi di fiori bianchi e frutta a polpa bianca, in aggregazione con leggeri richiami minerali, agrumati e di erbe aromatiche.","fresco e sapido, corposo, complesso ed elegante, trascinato da una sottile e tenace sapidità a un finale lungo e leggermente amaricante.",tanto buono,,,
397,279,19/06/2024,Tommy Hilfiger Cafè - Champagne Society,3/5,paglierino,"frutta bianca pera williams, crema","fresco e sapido, lettera andorla",non mi esalta,,,
398,280,31/08/2022,Top Missori,2/5,,,,,,,
399,281,07/02/2023,Top Missori,"2,5/5",,,,,,,
400,282,19/09/2023,Erba Luigia - Pisa,"4-4,5/5",,"agrume e frutta bianca e rossa, minerale gesso, burro e pasticceria, bella complessità","fresco e sapido, agrume e frutta secca, mandorla e nocciola, bella struttura persistenza, complessità anche al palato","grande vino, bella complessità ed eleganza, meravigliosamente gastronomico",,,
401,283,09/02/2023,Champagne Society,"1,5/5",,,,,,,
402,284,09/03/2022,Top Missori,2/5,,,,,,,
403,285,18/12/2022,Chamapagne Society Rubiera,"2,5/5",,,,,,,
404,286,19/05/2022,Il Magazzino,3/5,,,,,,,
405,287,03/06/2022,Champagne Society,4/5,,,,,,,
406,288,08/10/2022,Casa,"3,5/5",,,,,,,
407,288,29/04/2023,casa,"3,5/5",dorato,"frutta rossa soprattutto fragola e bianca soprattutto pesca e lici, poi miele e propoli, con leggero sentire di burro","fresco dalla bolla accattivante, presente la fragola e sapidità equilibrante, di buona persistenza. Acidità che stimola salivazione.","mi piace, uno champagne complesso, profondo ma non difficile. Piacevole e bevibile, versatile dall’aperitivo, alla tavola.",,,
408,289,30/04/2023,casa mamma,"4-4,5/5",dorato,"agrumi scuri, tabacco, the, legni pregiati, lievito, crema chantilly, crosta di pane, miele scuro,","fresco, sapido e minerale, con bella bolla elegante ma divertente e coinvolgente.","grande champagne, fresco come non ti aspetti, complesso, elegante e persistente.",,,
409,290,16/06/2023,casa,4/5,dorato,"frutta rossa e agrume, poi una bellissima pasticceria e burro con nota di miele","fresco e sapido, con bellissimo agrume di sanguinella e pompelmo leggero ed equilibrato, frutta secca di nocciole e mandorle e note di crema chantilly e burro pannoso di montagna","un grande Champagne, sofisticato ed elegante, una gialla fragrante e sexy",,,
410,290,29/03/2025,casa,4/5,dorato,"complesso, fresco, coinvolgente, agrume, frutta rossa e gialla, spezia, crema e pasticceria","fresco e sapido, note di frutta rossa e secca, ottima struttura e persistenza","ottimo vino, importante, gastronomico ma anche per una bevuta intima e riflessiva",,,
411,290,24/04/2025,casa,4/5,dorato,"grande eleganza. Si esprime con sentori di frutta rossi, note esotiche, cenni floreali e toni minerali","cremoso, di buon corpo, fresco e di lunga piacevolezza.","ottima bottiglia, gastronomica",,,
412,291,13/04/2025,Sacre Burger - Reims,3/5,,,,"Magnum. Buono ma anonimo, da un produttore come Bereche pretendi emozione.",,,
413,292,18/12/2022,Chamapagne Society Rubiera,"4,5/5",,,,"Buono ma anonimo, da un produttore come Bereche pretendi emozione.",,,
414,293,28/08/2022,Casa,"4,5/5",,,,,,,
415,293,15/01/2024, Casa Claudio Parenti,"4,5/5",rosa carico,"fruttato, agrumato e floreale con sentori di pasticceria in perfetto equilibrio. Grande complessità olfattiva.","fresco e sapido, frutto fragrante acidità di agrume rosso, sanguinella ma delicata, supportata da un aroma leggermente amaricante. Leggera ma gradevole vinosita che lo spingono ad accompagnare la tavola, in particolare quella toscana oltre che la pizza. Grande persistenza e bevibilità","grande champagne, poi grandioso rose, tra i migliori mai bevuti",,,
416,294,25/10/2024,casa,"4,5/5",bellissimo rosa ambrato con toni aranciati,"equilibrato e complesso dall’agrume alla frutta rossa, fiori, spunti minerali, note di pasticceria","fresco e sapido, nota amaricante equilibrata e piacevolissima, come di arancia amara, ottima struttura e persistenza, bevibilità infinita","si conferma tra i Rosè che adoro, e sono pochi",,,
417,295,19/06/2024,Tommy Hilfiger Cafè - Champagne Society,?/5,paglierino,agrume,,perplesso (secondo Thomas un ottimo champagne),,,
418,296,02/06/2022,Avize,1/5,,,,,,,
419,297,19/05/2023,Tour Champagne Society,3/5,Giallo paglierino,"Frutta bianca, rossa, gialla, agrume, burro, pasticceria",fresco e sapido in ottimo equilibrio,"molto buono, di ottima bevibilita",,,
420,298,19/05/2023,Tour Champagne Society,"2,5/5",Giallo paglierino,"Floreale ed erbaceo, con frutta che arriva e poi burro e pasticceria",un po’ astringente,,,,
421,299,19/05/2023,Tour Champagne Society,"2,5-3/5",Giallo paglierino,"Al naso ricorda sentore da ospedale in positivo, poi esprime complessità","In bocca fresco, sapido, risulta fragrante",Interessante ma non mi convince,,,
422,300,19/05/2023,Tour Champagne Society,3/5,paglierino,"Agrume e floreale, frutta bianca, leggera pasticceria","Fresco e dritto, sapidità in equilibrio, bolla fragrante",,,,
423,301,04/06/2022,Champagne Society,?/5,,,,,,,
424,302,16/10/2022,Champagne Society - Osteria del Viandante,"2,5/5",,,,,,,
425,303,16/10/2022, Champagne Society - Osteria del Viandante,"2,5/5",,,,,,,
426,304,14/04/2025,Le Wine Bar - Reims,0/5,,,,"Anche questo no, non edibile",,,
427,305,05/03/2025,Chi C'è C'è - Champagne Society,"4,5/5",dorato con riflessi rossi,"frutta rossa, agrume rosso, pasticceria","mora, fresco e salino, ottima struttura e persistenza",coinvolgente e sorprende per la mora,,,
428,306,19/06/2024,Tommy Hilfiger Cafè - Champagne Society,3/5,,,,"un fine serata di una line up troppo lunga, ricordo che mi è piaciuto ma nulla di più: da riprovare alla prima occasione",,,
429,307,05/03/2025,Chi C'è C'è - Champagne Society,"3,5/5",dorato con riflessi rosati quasi buccia di cipolla (ma non è un rose),"agrume, fruttato, propoli,","fresco e sapido, gusto di propoli, struttura e persistenza scarsa",interessante ma non mi coinvolge,,,
430,308,04/06/2022,Champagne Society,3/5,,,,,,,
431,309,06/09/2023,Aux Criers de Vin - Champagne Society,"3-3,5/5","dorato, bolla fine","frutta bianca, agrume, cremoso e lievito, minerale","sapido e fresco, di buon corpo, vinoso e grasso",ottima bottiglia da tavola,,,
432,310,05/04/2025,Casa,"4,5/5",dall’arancio al rosato,"agrumi rossi, frutti rossi, rosa canina, punta affumicata","fresco e sapido, gusto di agrume rosso, morbido e complesso",grande vino gastronomico,,,
433,311,18/12/2022,Chamapagne Society Rubiera,2/5,,,,,,,
434,312,27/04/2022,Champagne Society (Rubiera),,,,,,,,
435,313,12/03/2022,Arnaldo - Rubiera,"3,5/5",,"Arancia amaricante, quindi marcatore del legno, selossiano di cui è stato allievo",,"Stile micro ossidativo, con buona gestione del legno. suo base",,,
436,314,19/03/2025,Remedy,"3,5-4/5",paglierino,"agrumato, fruttato in bell’equilibrio, pasticceria","fresco e sapido, leggera nota zuccherina,",buona la sua base,,,
437,314,22/03/2025,Il Boschetto (Modena) - Champagne Society,"3,5-4/5",paglierino,"frutta e agrume, pasticceria","fresco e sapido, ottima struttura e persistenza",grande bevibilità,,,
438,315,11/02/2023, casa,4/5,,,,,,,
439,316,05/07/2022,Langosteria,"3,5/5",,,,,,,
440,317,18/03/2023,Casa,"3,5-4/5",paglierino vivace con riflessi dorati,"sentori macchia mediterranea, poi frutto giallo e pure rosso, sino a spezzia e pasticceria. Elegante e coinvolgente","fresco, dritto e persistente, ma anche di materia. Minerale e sapido in chiusura.","Grande piacere, da gustare solo, come aperitivo e a tavola. Nota importante: dopo alcune ore è ancora migliore.",,,
441,317,23/02/2024,Intarget - Polo,"3,5-4/5",dorato,"agrumi, frutta, fiori di campo, frutta secca, pasticceria","fresco e sapido, corposo e rotondo, con bella complessità aromatica. Ottima beva",vino da ogni occasione!,,,
442,318,18/05/2013,Tour Champagne Society - Le Pressoir,"2,5-3/5",giallo paglierino,"frutta bianca, agrume, miele, frutta candita","fine, non rispecchia il naso, buono ma esile. Potrebbe essere che degorgiato da 2 mesi",,,,
443,319,18/05/2013,Tour Champagne Society - Les Avizes,4/5,paglierino,"agrume, frutta dalla bianca alla rossa, fume da ossidazione positiva, pasticceria","fresco da agrume, sapido, bolla elegante, persistente e beverino",,,,
444,320,27/04/2022,Champagne Society (Rubiera),4/5,,,,,,,
445,321,18/12/2024,Nicola Gatta,4/5,,,,,,,
446,322,07/04/2022,Top Missori,4/5,,,,,,,
447,322,26/04/2022,Top Missori,4/5,,,,,,,
448,323,17/02/2025,La Concorrenza - Milano,"3,5-4/5",,"frutta gialla, agrume",,ottimo sia aperitivo sia da tavola,,,
449,324,04/06/2022,Champagne Society,"2,5/5",,,,,,,
450,325,18/12/2022,Chamapagne Society Rubiera,3/5,,,,,,,
451,326,05/03/2025,Chi C'è C'è - Champagne Society,"4-4,5/5",,,,,,,
452,327,13/05/2023,casa mamma,"3-3,5/5","giallo dorato, bolla fragrante ma elegante","frutto rosso, agrume, floreale e balsamico, poi miele e butrro","freschissimo e sapido, minerale, con retronasale di agrume.","gastronomico, in degustazione la prima sensazione è di champagne leggero ma poi arriva, sia al naso che in bocca, ed esprime tutta la sua profondità, complessità e forza",,,
453,328,31/12/2024, Carezza,4/5,giallo dorato,"frutta rossa e pompelmo, pasticceria","fresco e molto sapido, bella acidità agrumosa che stimola la salivazione, buona struttura e persistenza","bella bottiglia, parte di un progetto veramente interessante, tipicamente Aube",,,
454,329,19/06/2024,Tommy Hilfiger Cafè - Champagne Society,"3,5-4/5",paglierino,"agrume e frutta bianca, pasticceria","fresco e sapido, buona struttura",coinvolgente,,,
455,330,21/10/2024,Arnaldo - Champagne Society,"4,5-5/5",giallo paglierino,"bella complessità di floreale, frutta bianca, agrumi, gesso, burro, crema pasticcera","fresco e sapido, grande struttura e persistenza, complessità gustativa","grande bottiglia, ideale per tutto",,,
456,331,05/06/2022,Champagne Society,"2,5/5",,,,,,,
457,332,05/03/2025,Chi C'è C'è - Champagne Society,4/5,paglierino,"agrumato e fruttato,","fresco e sapido, gusto di agrume, mandarino, ottima struttura e persistenza",ottimo,,,
458,333,22/05/2024,Winetip,"2,5-3/5",giallo dorato con riflessi rossi,frutta gialla e mela,"fresco e leggera sapidità, buona struttura e persistenza media","menier in purezza buono ma non lascia il segno, bevibile in aperitivo, senza nessuna pretesa",,,
459,334,21/03/2024,Champagne Society - Les Avizese,"3,5/5",giallo paglierino,"agrume e frutta bianca, burro","fresco e sapido, nota amaricante di mandorla, bolla molto fine ma frizzante, buona persistenza","buono, da aperitivo",,,
460,335,20/10/2024,MCE - Chamèpagne Society,"3-3,5/5",giallo paglierino con riflessi rossi,"frutta gialla e pasticceria, tipico Meunier","fresco e sapido, bella acidità che stimola la bevuta, buona struttura e persistenza",buon meunier ma non mi esalta,,,
461,336,21/03/2024,Tour Champagne Society - Le Recommande - Avize,4/5,giallo paglierino,"frutta bianca e agrume, crema pasticcera, bolla elegante","fresco e sapido, bolla elegante anche in bocca, gustativa complessa, mandorla e frutta secca delicata","vino complesso ma di grande beva, gastronomico",,,
462,337,13/02/2025,Remedy,"4,5/5",,"meravigliosamente complesso ma di ampia freschezza, camomilla e fiori in bouquet variegato, frutta bianca, minerale, pasticceria","fresco e sapido, grande struttura e persistenza","prima uscita e subito ottimo champagne, da riprovare e riprovare",,,
463,337,22/03/2025,Il Boschetto (Modena) - Champagne Society,"4,5/5",paglierino,"elegante, agrume e frutto fresco, gesso, bella e delicata pasticceria","fresco e sapido, agrume e frutta",grande!,,,
464,338,12/02/2022,Casa,1/5,,,,,,,
465,339,23/03/2022,Top Champagne - San Maurì,1/5,,,,,,,
466,340,23/03/2022,Top Champagne - San Maurì,1/5,,,,,,,
467,341,23/03/2022,Top Champagne - San Maurì,1/5,,,,,,,
468,342,23/03/2022,Top Champagne - San Maurì,1/5,,,,,,,
469,343,23/03/2022,Top Champagne - San Maurì,1/5,,,,,,,
470,344,23/03/2024,Champagne Society - Crete Chamberlin,"4-4,5/5","giallo dorato, bolla fragrante","fumè, agrume, frutta bianca, gesso, cruassant","fresco e sapido, leggermente amaricante da mandorla, persistente, di grande struttura",evoluta ma stupenda,,,
471,345,23/03/2024,Champagne Society - Crete Chamberlin,"2,5-3/5",rosa cipolla scuro,"frutta rossa, ciliegia e fragola, fiore rosso, pasticceria","fresco e sapido, amaricante, leggero tannino, persistente ma diluito nel retro palato",interessante ma diluito come le 18,,,
472,346,23/03/2024,Champagne Society - Crete Chamberlin,"3,5-4/5",giallo dorato con riflessi rossi,"frutta gialla e agrume, fiore, pasticceria","fresco e sapido, teso, persistente, di struttura",gastronomico,,,
473,347,07/02/2023,Top Missori,"2,5/5",,,,,,,
474,348,23/03/2024,Champagne Society - Crete Chamberlin,4/5,"giallo paglierino con riflessi dorati, bolla fragrante","frutta bianca e agrume, fiore, pasticceria, bel l’equilibrio olfattivo","fresco, sapido, equilibrato, leggera ed equilibrata nota di mandorla",molto buono,,,
