ID Vino,Tipologia Vino,Tipologia Produttore,Produttore,Tipologia Agricoltura,Tipologia Vinificazione,Terroir,Disciplinare,Etichetta,Vigna_Clos_Lieu-Dit_Climat,Uvaggio,Millesimo,Dimensione Bottiglia,Dosaggio,Data Imbottigliamento,Mesi sui Lieviti,Data Sboccatura,Distributore
169,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuvèe 170,,51% PN - 38%Chard - 11% Meu,NV (base 14),"0,75",,,84,02/2021,Moet Italia
170,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuvèe 170,,51% PN - 38%Chard - 11% Meu,NV (base 14),"0,75",,,84,05/2021,Moet Italia
171,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuvèe 170,,51% PN - 38%Chard - 11% Meu,NV (base 14),"0,75",,,84,05/2022,Moet Italia
172,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuveè 171,,45% PN - 37% Chard - 18% Meu,NV (base 15),"0,75",,,84,01/2022,Moet Italia
173,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuveè 171,,45% PN - 37% Chard - 18% Meu,NV (base 15),"0,75",,,87,04/2022,Moet Italia
174,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuveè 171,,45% PN - 37% Chard - 18% Meu,NV (base 15),"0,75",,,90,07/2022,Moet Italia
175,Metodo Champenoise,Maison,Krug,,,,Champagne,Grande Cuveè 172,,44% PN - 36% Chard - 20% Meu,NV (base 16),"0,75",,,70,01/2023,Moet Italia
176,Metodo Champenoise,Maison,Krug,,,,Champagne,Rosè 21 eme Edition,,51% PN - 41% Chard - 8% Meu,NV (base 08),Mag,,,90,2016,Moet Italia
177,Metodo Champenoise,Maison,Krug,,,,Champagne,Rosè 26 eme Edition,,44% PN - 30% Chard - 26% Meu,NV (base 14),"0,75",,,90,01/2021,Moet Italia
178,Metodo Champenoise,Maison,Krug,,,,Champagne,Rose 27 eme Edition,,57% PN - 23% Chard - 20% Meu,NV (base 15),"0,75",,,66,11/2021,Moet Italia
179,Metodo Champenoise,Maison,Krug,,,,Champagne,Rosè 28 eme Edition,,58% PN - 25% Chard - 17% Meu,NV (base 16),"0,75",,,72,01/2023,Moet Italia
180,Metodo Champenoise,Maison,Krug,,,,Champagne,Vintage,,35% PN - 45% Chard - 19% Meu,1998,"0,75",,,122,11/2009,Moet Italia
181,Metodo Champenoise,Maison,Krug,,,,Champagne,Vintage,,40% Chard - 39% PN - 21% Meu,2002,"0,75",,,144,07/2015,Moet Italia
182,Metodo Champenoise,Maison,Krug,,,,Champagne,Vintage,,37% PN - 39% Chard - 24% Meu,2004,"0,75",,,144,07/2016,Moet Italia
183,Metodo Champenoise,Maison,Krug,,,,Champagne,Vintage,,53% PN - 22% Chard - 25% Meu,2008,"0,75",,,120,11/2019,Moet Italia
184,Metodo Champenoise,Maison,Krug,,,,Champagne,Vintage,,53% PN - 22% Chard - 25% Meu,2008,"0,75",,,120,2019/2020,Moet Italia
185,Metodo Champenoise,Maison,Krug,,,,Champagne,Vintage,,53% PN - 22% Chard - 25% Meu,2008,"0,75",,,132,08/2020,Moet Italia
186,Metodo Champenoise,Maison,Krug,,,,Champagne,Vintage,,46% PN - 37% Chard - 17% Meu,2011,"0,75",,,132,2023,Moet Italia
187,Metodo Champenoise,Maison,Krug,,,,Champagne,Clos d'Ambonnay,,100% PN,1995,"0,75",,,144,12/2008,Moet Italia
188,Metodo Champenoise,Maison,Krug,,,,Champagne,Clos d'Ambonnay,,100% PN,1996,"0,75",,,144,12/2009,Moet Italia
189,Metodo Champenoise,Maison,Krug,,,,Champagne,Clos d'Ambonnay,,100% PN,1998,"0,75",,,144,12/2011,Moet Italia
190,Metodo Champenoise,Maison,Krug,,,,Champagne,Clos d'Ambonnay,,100% PN,2000,"0,75",,,144,12/2013,Moet Italia
191,Metodo Champenoise,Maison,Krug,,,,Champagne,Clos d'Ambonnay,,100% PN,2002,"0,75",,,144,12/2015,Moet Italia
192,Metodo Champenoise,Maison,Krug,,,,Champagne,Clos d'Ambonnay,,100% PN,2006,"0,75",,,144,12/2019,Moet Italia
193,Metodo Champenoise,Maison,Perrier-Jouet,,,,Champagne,Belle Epoque,,45% PN - 50% Chard - 5% Meu,2008,"0,75",8 g/l,,72,,
194,Metodo Champenoise,Maison,Perrier-Jouet,,,,Champagne,Belle Epoque,,45% PN - 50% Chard - 5% Meu,2013,"0,75",8 g/l,,72,,
195,Metodo Champenoise,Maison,Philipponnat,,,,Champagne,Royal Reserve Brut,,67% PN - 31% Chard - 2% Meu,2019,"0,75",8 g/l,,36,04/2023,
196,Metodo Champenoise,Maison,Philipponnat,,,,Champagne,Royal Reserve Brut,,67% PN - 31% Chard - 2% Meu,2019,"0,75",8 g/l,,40,07/2023,
197,Metodo Champenoise,Maison,Philipponnat,,,,Champagne,Royal Reserve Non Dosè,,67% PN - 31% Chard - 2% Meu,2019,"0,75",pas dosè,,34,02/2023,
198,Metodo Champenoise,Maison,Philipponnat,,,,Champagne,Royal Reserve Non Dosè,,67% PN - 31% Chard - 2% Meu,2019,"0,75",pas dosè,,38,06/2023,
199,Metodo Champenoise,Maison,Philipponnat,,,,Champagne,Blanc de Noirs,,100% PN,2018,"0,75","4,5 g/l",,48,06/2023,
200,Metodo Champenoise,Maison,Philipponnat,,,,Champagne,Grand Blanc Extra Brut,,100% Chard,2014,"0,75","4,5 g/l",,84,02/2022,
201,Metodo Champenoise,Maison,Philipponnat,,,,Champagne,Cuvee Speciale Moon Import,,69% PN - 28% Chard - 3% Meu,2018,"0,75","8,5 g/l",,44,01/2023,
202,Metodo Champenoise,Maison,Philipponnat,,,,Champagne,1522,,70% PN - 30% Chard,2015,"0,75","4,5 g/l",,72,02/2022,
203,Metodo Champenoise,Maison,Philipponnat,,,,Champagne,Clos des Goisses,,71% PN - 29% Chard,2014,"0,75","4,5 g/l",,96,03/2023,
204,Metodo Champenoise,Maison,Pierre Legras,,,,Champagne,Coste Beert Blanc de Blancs Grand Cru Brut,,100% Chard,NV (base 18),"0,75","6,75 g/l",03/2019,27,06/2021,Premiere
205,Metodo Champenoise,Maison,Pierre Legras,,,,Champagne,Coste Beert Blanc de Blancs Grand Cru Brut,,100% Chard,NV (base 18),Mag,"6,75 g/l",03/2019,40,07/2022,Premiere
206,Metodo Champenoise,Maison,Pierre Legras,,,,Champagne,Coste Beert Blanc de Blancs Grand Cru Brut,,100% Chard,NV (base 21),"0,75","5,6 g/l",04/2022,16,10/2023,Premiere
207,Metodo Champenoise,Maison,Pierre Legras,,,,Champagne,Orior,,90% Chard - 10% PN,NV,"0,75","6,75 g/l",04/2018,48,03/2022,Premiere
208,Metodo Champenoise,Maison,Pierre Legras,,,,Champagne,Monographie Grand Cru,,100% Chard,NV (base 15),"0,75",pas dosè,04/2016,56,01/2021,Premiere
209,Metodo Champenoise,Maison,Piper-Heidseck,,,,Champagne,Rare,,70% Chard - 30% PN,2008,"0,75",9 g/l,,120,11/2019,
210,Metodo Champenoise,Maison,Ployez-Jacquemart,,,,Champagne,Extra Brut Vintage,,50% Chard - 25% PN - 25% Meu,2008,"0,75",3 g/l,,108,07/2019,
211,Metodo Champenoise,Maison,Pol Roger,,,,Champagne,Winston Churchill,,75% PN - 25% Chard,2008,"0,75",7  g/l,,108,,Compagnia del Vino
212,Metodo Champenoise,Maison,Pol Roger,,,,Champagne,Winston Churchill,,65% PN - 35% Chard,2013,"0,75",7 g/l,,84,07/2021,Compagnia del Vino
213,Metodo Champenoise,Maison,Pol Roger,,,,Champagne,Pure,,33% PN - 34% Chard - 33% Meu,NV,"0,75",pas dosè,,,,Compagnia del Vino
214,Metodo Champenoise,Maison,Pol Roger,,,,Champagne,Vintage Brut,,60% PN - 40% Chad,2012,"0,75",7 g/l,,72,2019?,Compagnia del Vino
215,Metodo Champenoise,Maison,Pol Roger,,,,Champagne,Vintage Brut,,60% PN - 40% Chad,2013,"0,75",7 g/l,,72,2020,Compagnia del Vino
216,Metodo Champenoise,Maison,Pol Roger,,,,Champagne,Vintage Brut,,60% PN - 40% Chad,2018,"0,75",,,,,Compagnia del Vino
217,Metodo Champenoise,Maison,Pol Roger,,,,Champagne,Vintage Rosè,,65% PN - 35% Chard,2012,"0,75",7 g/l,,72,2020,Compagnia del Vino
218,Metodo Champenoise,Maison,Pol Roger,,,,Champagne,Blanc de Blancs,,100% Chard,2012,"0,75",7 g/l,,72,2019,Compagnia del Vino
219,Metodo Champenoise,Maison,R&L Legras,,,,Champagne,Saint-Vincent,,100% Chard,2008,"0,75",4 g/l,,,,
220,Metodo Champenoise,Maison,salon,,,,Champagne,blanc de Blancs,,100% Chard,1997,"0,75",3 g/l,,240,2018,
221,Metodo Champenoise,Maison,Taittinger,,,,Champagne,Reserve Brut,,40% Chard - 35% PN - 25% Meu,NV,"0,75",,,,2023,
222,Metodo Champenoise,Maison,Taittinger,,,,Champagne,Prelude,,50% Chard - 50% PN,NV,"0,75",,,,2022,
223,Metodo Champenoise,Maison,Taittinger,,,,Champagne,Millesimè,,50% Chard - 50% PN,2015,Mag,9 g/l,,60,2021,
224,Metodo Champenoise,Maison,Taittinger,,,,Champagne,Comtes de Champagne,,100% Chard,2008,"0,75",9 g/l,,120,2019,
225,Metodo Champenoise,Maison,Taittinger,,,,Champagne,Comtes de Champagne,,100% Chard,2012,"0,75",9 g/l,,120,2022,
226,Metodo Champenoise,Maison,Veuve Clicquot,,,,Champagne,La Grande Dame,,62% PN - 38% Chard,1988,"0,75",9 g/l,,108,04/1998,
227,Metodo Champenoise,Maison,Veuve Clicquot,,,,Champagne,La Grande Dame,,"62,5% PN - 37,5% Chard",1995,"0,75",,,,,
228,Metodo Champenoise,Maison,Veuve Clicquot,,,,Champagne,La Grande Dame,,92% PN - 8% Chard,2008,"0,75",6 g/l,,108,01/2018,
229,Metodo Champenoise,Maison,Veuve Clicquot,,,,Champagne,La Grande Dame,,92% PN - 8% Chard,2008,"0,75",6 g/l,,116,10/2018,
230,Metodo Champenoise,Maison,Veuve Clicquot,,,,Champagne,La Grande Dame,,90% PN - 10% Chard,2012,"0,75",6 g/l,,72,,
231,Metodo Champenoise,Maison,Veuve Clicquot,,,,Champagne,La Grande Dame,,90% PN - 10% Chard,2015,"0,75",6 g/l,,60,10/2021,
232,Metodo Champenoise,Maison,Veuve Clicquot,,,,Champagne,Yellow Label,,50% PN - 30% Chard - 20 Meu,NV (base 99),,,,,,
233,Metodo Champenoise,Maison,Veuve Clicquot,,,,Champagne,Couveè Saint Petersburg Brut,,50% PN - 30% Chard - 20 Meu,NV,"0,75",,,36,,
234,Metodo Champenoise,Maison,Veuve Clicquot,,,,Champagne,Couveè Saint Petersburg Brut ,,50% PN - 30% Chard - 20 Meu,NV,Mag,,,,,
235,Metodo Champenoise,Maison,Veuve Clicquot,,,,Champagne,Extra Old Extra Brut,,50% PN - 30% Chard - 20% Meu,NV (base 10),"0,75",3 g/l,,,07/2016,
236,Metodo Champenoise,Maison,Veuve Clicquot,,,,Champagne,Extra Old Extra Brut,,50% PN - 30% Chard - 20% Meu,NV (base 14),"0,75",3 g/l,11/2016,40,02/2021,
237,Metodo Champenoise,Maison,Veuve Clicquot,,,,Champagne,Extra Old Extra Brut,,50% PN - 30% Chard - 20% Meu,NV (base 2014),"0,75",3 g/l,11/2016,96,03/2022,
238,Metodo Champenoise,Maison,Veuve Clicquot,,,,Champagne,Vintage  ,,50% PN - 30% Chard - 20% Meu,2015,"0,75",6 g/l,,72,03/2022,
239,Metodo Champenoise,Maison,Veuve Clicquot,,,,Champagne,Vintage Rosè,,51% PN - 34% Chard - 15% Meu,2012,"0,75",8 g/l,,96,02/2021,
240,Metodo Champenoise,Maison,Veuve Clicquot,,,,Champagne,Brut Rosè,,50%  PN - 30% Chard - 20% Meu,NV,"0,75",10 g/l,,30,,
241,Metodo Champenoise,Maison,Vve Fourny & Fils,,,,Champagne,Cuvee R Extra Brut Premier Cru L'opulence,,100% Chard,NV,"0,75",3-4 g/l,,18,,Pellegrini
242,Metodo Champenoise,RM,A. Bergere,,,,Champagne,Blanc de Blancs Brut Solera,,100% Chard,NV (base 19),"0,75",5 g/l,,22,03/2022,A. Bergerè Italia
243,Metodo Champenoise,RM,A. Bergere,,,,Champagne,Blanc de Blancs Brut Solera,,100% Chard,NV (base 21),"0,75",3 g/l,,24,11/2023,A. Bergerè Italia
244,Metodo Champenoise,RM,Adrien Renoire,,,,Champagne,Le Cepage Grand Cru,,100% PN,NV (base 19),"0,75","1,6 g/l",,32,03/2022,
245,Metodo Champenoise,RM,Agrapart Pascal & Fils,,,Cotè des Blancs - Avize,Champagne,7 Crus,,90% Chard - 10% PN,NV,"0,75",6 g/l,05/2020,34,02/2023,Pellegrini
246,Metodo Champenoise,RM,Agrapart Pascal & Fils,,,Cotè des Blancs - Avize,Champagne,Exp. 14,,100% Chard,2014,"0,75",pas dosè,,48,,Pellegrini
247,Metodo Champenoise,RM,Agrapart Pascal & Fils,,,Cotè des Blancs - Avize,Champagne,Exp. 15,,100% Chard,2015,"0,75",pas dosè,,60,2021,Pellegrini
248,Metodo Champenoise,RM,Agrapart Pascal & Fils,,,Cotè des Blancs - Avize,Champagne,Terroirs,,100% Chard,NV,"0,75",5 g/l,05/2021,38,07/2024,Pellegrini
249,Metodo Champenoise,RM,Agrapart Pascal & Fils,,,Cotè des Blancs - Avize,Champagne,Avizoise,,100% Chard,2015,"0,75",3 g/l,05/2016,60,05/2021,Pellegrini
250,Metodo Champenoise,RM,Agrapart Pascal & Fils,,,Cotè des Blancs - Avize,Champagne,Venus,,100% Chard,2013,"0,75",pas dosè,05/2015,48,06/2019,Pellegrini
251,Metodo Champenoise,RM,Alain Couvreur,,,,Champagne,Blanc de Blancs,,100% Chard,NV,"0,75",7 g/l,,60,,Teatro del Vino
252,Metodo Champenoise,RM,Alexandre Filaine,,,,Champagne,Cuvee Special,,45% PN - 30% Chard - 25% Meu,NV (base 16?),"0,75",7 g/l,,36,09/2021,Famiglia Cotarella
253,Metodo Champenoise,RM,Alexandre Filaine,,,,Champagne,DMY,,50% PN - 30% Chard - 20% Meu,NV (base 17?),"0,75",4 g/l,,60,09/2021,Famiglia Cotarella
254,Metodo Champenoise,RM,Alexandre Filaine,,,,Champagne,Sensuum Vertigo,,55% PN - 35% Chard - 10% Meu,2011,"0,75",4 g/l,,60,2017,Famiglia Cotarella
255,Metodo Champenoise,RM,Alexandre Filaine,,,,Champagne,Sensuum Vertigo,,55% PN - 30% Chard - 15% Meu,2013,"0,75",4 g/l,,60,,Famiglia Cotarella
256,Metodo Champenoise,RM,Alexandre Grimee,,,,Champagne,Sous Les Trous,,85% Meu - 15% PN,2018,"0,75",pas dosè,,32,01/2022,
257,Metodo Champenoise,NM,Andrè Beaufort,,,,Champagne,Ambonnay Grand Cru Millesimè,,80% PN - 20% Chard,2000,"0,75",,,,,
258,Metodo Champenoise,NM,Andrè Beaufort,,,,Champagne,Ambonnay Grand Cru Millesimè,,80% PN - 20% Chard,2010,"0,75",7 g/l,,84,04/2017,
259,Metodo Champenoise,NM,Andrè Beaufort,,,,Champagne,Ambonnay Brut Reserve,,80% PN - 20% Chard,NV (base 15),"0,75",,,24,02/2021,
260,Metodo Champenoise,NM,Andrè Beaufort,,,,Champagne,Ambonnay Brut Reserve,,80% PN - 20% Chard,NV(base 16),"0,75",,,60,10/2022,
261,Metodo Champenoise,NM,Andrè Beaufort,,,,Champagne,Polisy Brut Reserve,,80% PN - 20% Chard,NV (base 18),"0,75",8 g/l,,32,06/2022,
262,Metodo Champenoise,NM,Andrè Beaufort,,,,Champagne,Polisy Brut Reserve,,80% PN - 20% Chard,NV (base 18),"0,75",8 g/l,,36,10/2022,
263,Metodo Champenoise,NM,Andrè Beaufort,,,,Champagne,Polisy Millesime  Brut Nature,,80% PN - 20% Chard,1997,"0,75",pas dosè,,312,01/2024,
264,Metodo Champenoise,NM,Andrè Beaufort,,,,Champagne,Polisy Millesime  Brut ,,80% PN - 20% Chard,2008,"0,75",,,144,01/2021,
265,Metodo Champenoise,NM,Andrè Beaufort,,,,Champagne,Polisy Millesime Derriere l'Eglise,,100% PN,2015,"0,75",,,,01/2022,
266,Metodo Champenoise,RM,Antoine Bouvet,,,,Champagne,Brut Nature Millesimè,,Chard - PN,2017,"0,75",2 g/l,,36,02/2021,
267,Metodo Champenoise,RM,Arnould de Beaufort,,,,Champagne,Cuvee Tension Extra Brut,,75% Chard - 25% PN,NV,"0,75",2 g/l,,40,11/2019,
268,Metodo Champenoise,RM,Arnould de Beaufort,,,,Champagne,Cuvee Tension Extra Brut,,75% Chard - 25% PN,NV (base 15),"0,75",2 g/l,,48,11/2020,
269,Metodo Champenoise,RM,Arthur Lelievre,,,,Champagne,Premices,,47% PN - 18% Chard - 35% Meu,NV,"0,75",,,,7/2024,
270,Metodo Champenoise,RM,Assailly,,,,Champagne,Les Origines,,100% Chard,2013,"0,75",,,,,
271,Metodo Champenoise,RM,Aubry,,,,Champagne,Brut Classique Premier Cru,,Meu - PN,,"0,75",,,,,
272,Metodo Champenoise,RM,Aubry,,,,Champagne,Cuvee Ivoire et Ebene,,70% Chard - 30% Meu,2011,"0,75",,07/2012,120,10/2022,
273,Metodo Champenoise,RM,Audrey Brocard,,,,Champagne,Coer de Village,,55% Meu -  25% Chard - 20% PN,NV (base 15),"0,75","3,2 g/l",,62,10/2022,
274,Metodo Champenoise,RM,Aurore Casanova,,,,Champagne,Puisieulx ,,100% Chard,2017,"0,75",2 g/l,,24,8/2020,Moon Import
275,Metodo Champenoise,RM,Aurore Casanova,,,,Champagne,Puisieulx - Les Petites Vignes - Pinot Noir,,100% Chard,2018,Mag,0 g/l,,48,3/2023,Moon Import
276,Metodo Champenoise,RM,Aurore Casanova,,,,Champagne,Puisieulx ,,100% Chard,NV (base 20),"0,75",1 g/l,,24,10/2023,Moon Import
277,Metodo Champenoise,RM,Aurore Casanova,,,,Champagne,Puisieulx - Les Petites Vignes - Pinot Noir,,100% PN,NV (base 21),"0,75",pas dosè,08/2022,24,4/2024,Moon Import
278,Metodo Champenoise,RM,Aurore Casanova,,,,Champagne,Mesnil sur Oger - Grand Cru - Malo,,100% Chard,NV (2017/18),"0,75",pas dosè,,36,6/2022,
279,Metodo Champenoise,RM,Baptiste & Charles Ponsart,,,,Champagne,Les Vergers,,100% Chard,NV (Base 18),"0,75",2 g/l,03/2019,36,10/2022,
280,Metodo Champenoise,RM,Barbier-Louvet,,,,Champagne,Cuvee d'Ensemble,,60% PN - 40% Chard,NV,"0,75",9 g/l,,18,,
281,Metodo Champenoise,RM,Barbier-Louvet,,,,Champagne,Heritage Blanc de Noirs Premier Cru,,100% PN,NV,"0,75",,,,,
282,Metodo Champenoise,RM,Benoit Lahaye,,,,Champagne,Violaine,,50% PN - 50% Chard,2014,"0,75",pas dosè,,48,04/2019,Teatro del Vino
283,Metodo Champenoise,RM,Benoit Michel/Davide Lacerenza,,,,Champagne,Davide Lacerenza,,Meu - Chard,NV (1981/82/83),"0,75",,,468,2022,
284,Metodo Champenoise,RM,Benoit Munier,,,,Champagne,Grand Cru Blanc de Blancs,,100% Chard,2012,"0,75","4,8 g/l",04/2013,84,07/2020,
285,Metodo Champenoise,RM,Benoit Munier,,,,Champagne,Millesime ,,,2015,"0,75",pas dose,,,,
286,Metodo Champenoise,NM,Bereche et Fils,,,,Champagne,Brut Reserve Vieilles Vignes ,,35% Chard - 30% PN - 35% Meu,NV,"0,75",6 g/l,,36,10/2019,
287,Metodo Champenoise,NM,Bereche et Fils,,,,Champagne,Mailly-Champagne Grand Cru,,100% PN,2013,"0,75",3 g/l,,48,10/2018,
288,Metodo Champenoise,NM,Bereche et Fils,,,,Champagne,Rive Gauche,,100% Meu,2017,"0,75",3 g/l,,30,11/2020,
289,Metodo Champenoise,NM,Bereche et Fils,,,,Champagne,Reflet D'Antan,,35% PN - 30% Chard - 35% Meu,NV,"0,75",6 g/l,,40,12/2020,
290,Metodo Champenoise,NM,Bereche et Fils,,,,Champagne,Ambonnay Grand Cru Millesime,,100% PN,2014,"0,75","3,5 g/l",,48,7/2019,
291,Metodo Champenoise,NM,Bereche et Fils,,,,Champagne,Avize Grand Cru Millesime,,100% Chard,2016,Mag,4 g/l,,72,12/2023,
292,Metodo Champenoise,NM,Bereche et Fils,,,,Champagne,Campania Remensis,,65% PN - 30% Card - 5% Meu,2014,"0,75",4 g/l,,36,3/2018,
293,Metodo Champenoise,NM,Bereche et Fils,,,,Champagne,Campania Remensis,,65% PN - 30% Card - 5% Meu,2016,"0,75","3,5 g/l",,36,3/2020,
294,Metodo Champenoise,NM,Bereche et Fils,,,,Champagne,Campania Remensis,,65% PN - 30% Card - 5% Meu,2019,"0,75",3 g/l,,36,6/2023,
295,Metodo Champenoise,RM,Bolieu,,,,Champagne,Fleur de Craie,,100% Chard,NV (base 15),"0,75",,06/2016,72,11/2022,
296,Metodo Champenoise,RM,Bonnet-Gilmert,,,,Champagne,Blanc de Blancs Grand Cru Cuvee de Reserve,,100% Chardonnay,NV,"0,75","5,5 g/l",,60,2022,
297,Metodo Champenoise,RM,Bonnet-Ponson,,,,Champagne,Perpetuelle,,40% PN - 30% Chard - 30% Meu,NV (base 19),"0,75","1,5 g/l",05/2020,36,04/2023,
298,Metodo Champenoise,RM,Bonnet-Ponson,,,,Champagne,Perpetuelle Non Dosè,,40% PN - 30% Chard - 30% Meu,NV (base 18),"0,75",pas dosè,05/2019,48,04/2023,
299,Metodo Champenoise,RM,Bonnet-Ponson,,,,Champagne,Jules Bonnet  Millesime Blanc de Noirs,,100% PN,2013,"0,75",3 g/l,,100,10/2022,
300,Metodo Champenoise,RM,Bonnet-Ponson,,,,Champagne,Seconde Nature,,45% PN - 40% Chard - 15% Meu,(vendemmia 20),"0,75",pas dosè,05/2021,22,02/2023,
301,Metodo Champenoise,RM,Boucant - Thierry,,,,Champagne,Brut,,60% Meu - 35% PN - 5% Chard,NV,"0,75",6 g/l,,36,,
302,Metodo Champenoise,RM,Brocard Pierre,,,,Champagne,Absimilis La Lamblee,,100% PB,2018,"0,75",2 g/l,,36,,
303,Metodo Champenoise,RM,Brocard Pierre,,,,Champagne,Tradition,,70% PN - 5% Chard - 25% PB,NV (base 19),"0,75",4 g/l,,24,02/2022,
304,Metodo Champenoise,RM,Carrè Freres,,,,Champagne,Le Champ des Maladries,,60% Chard - 40% PN,2021,"0,75",2 g/l,07/2022,28,12/2024,
305,Metodo Champenoise,RM,C.H. Piconnet,,,,Champagne,La Bretone,,100% PN,2020,"0,75",pas dosè,,24,07/2023,Les Caves du Forum
306,Metodo Champenoise,RM,Champagne de la Renaissance,,,,Champagne,Cuvee Sauvage,,100% Chard,,"0,75",,,,,
307,Metodo Champenoise,RM,Charles Dufour/Domaine Francoise Martinot,,,,Champagne,Bulles de Comptoir - # 9 Tradition,,PN - Chard - Pinot Blanc,NV (base 18),"0,75",,10/2019,15,01/2021,
308,Metodo Champenoise,RM,Charles Dufour/Domaine Francoise Martinot,,,,Champagne,Bulles de Comptoir - #10 Tchin Tchin,,60% PN - 30% Chard - 10% PB,NV (base 19),"0,75",2 g/l,11/2020,24,01/2022,
309,Metodo Champenoise,RM,Charles Dufour/Domaine Francoise Martinot,,,,Champagne,Bistrotage,,100% PN,NV (base 14),"0,75",,8/2015,88,12/2022,
310,Metodo Champenoise,RM,Charles Dufour/Domaine Francoise Martinot,,,,Champagne,Bistrotage Rosè,,100% PN,NV (Base 11),"0,75",,10/2014,82,08/2021,
311,Metodo Champenoise,RM,Charlier et Fils,,,,Champagne,Special Club ,,50%Chard - 20% PN - 30% Meu,2008,"0,75",,,72,,
312,Metodo Champenoise,RM,Chartogne-Taillet,,,,Champagne,Sainte Anne,,40% PN - 50% Chard - 10% Meu,NV,"0,75","4,5 g/l",,17,01/2020,MoonImport
313,Metodo Champenoise,RM,Chartogne-Taillet,,,,Champagne,Sainte Anne,,Chard - PN,NV,Mag,7 g/l,07/2016,69,04/2022,MoonImport
314,Metodo Champenoise,RM,Chartogne-Taillet,,,,Champagne,Sainte Anne,,Chard - PN,NV,"0,75",4 g/l,07/2021,15,10/2022,MoonImport
315,Metodo Champenoise,RM,Chartogne-Taillet,,,,Champagne,Hors Serie,,100% Chard,2015,"0,75",1 g/l,07/2016,50,10/2020,MoonImport
316,Metodo Champenoise,RM,Chartogne-Taillet,,,,Champagne,Les Barres,,100% PN,2015,"0,75","4,5 g/l",07/2016,36,07/2019,MoonImport
317,Metodo Champenoise,RM,Chartogne-Taillet,,,,Champagne,Les Couarres,,60% Chard - 40% PN,2016,"0,75",5 g/l,07/2017,45,03/2021,MoonImport
318,Metodo Champenoise,RM,Chartogne-Taillet,,,,Champagne,Heurtebise,,100% Chard,2018,"0,75",3 g/l,07/2019,43,02/2023,MoonImport
319,Metodo Champenoise,RM,Chartogne-Taillet,,,,Champagne,Saint Thierry,,90% Chard - 10% Men,2016,"0,75",3 g/l,07/2017,30,01/2020,MoonImport
320,Metodo Champenoise,RM,Chartogne-Taillet,,,,Champagne,Saint Thierry,,90% Chard - 10% Men,2016,"0,75",3 g/l,07/2017,36,10/2020,MoonImport
321,Metodo Champenoise,RM,Chartogne-Taillet,,,,Champagne,Saint Thierry,,100% Chard ,2020,"0,75","2,5 g/l",07/2021,28,11/2023,MoonImport
322,Metodo Champenoise,RM,Chevreux-Bournazel,,,,Champagne,La Parcelle Le Bouc,,100% Mue,NV,"0,75",Pas Dosè,,,,
323,Metodo Champenoise,RM,Chevreux-Bournazel,,,,Champagne,la Parcelle  ,,100% Meu,NV (base 20),"0,75",Pas Dosè,07/2021,17,02/2023,
324,Metodo Champenoise,RM,Clandestin (Benoit Doussot & Bertrand Gautherot),,,,Champagne,Les Grandes Lignes,,100% Chard,2016,"0,75",pas dosè,,24,01/2019,
325,Metodo Champenoise,RM,Clandestin (Benoit Doussot & Bertrand Gautherot),,,,Champagne,Les Grandes Lignes,,100% Chard,2018,"0,75",pas dosè,,24,10/2020,
326,Metodo Champenoise,RM,Clandestin (Benoit Doussot & Bertrand Gautherot),,,,Champagne,Les Grandes Lignes,,100% Chard,2019,"0,75",pas dosè,,24,10/2021,
327,Metodo Champenoise,RM,Clandestin (Benoit Doussot & Bertrand Gautherot),,,,Champagne,Les Semblabes (Boreal),,100% PN,2019,"0,75",pas dosè,,20,10/2021,
328,Metodo Champenoise,RM,Clandestin (Benoit Doussot & Bertrand Gautherot),,,,Champagne,Les Semblabes (Boreal),,100% PN,2019,"0,75",pas dosè,,20,10/2021,
329,Metodo Champenoise,RM,Clement & Fils,,,,Champagne,Les Cornambeaux,,100% Chard,2018,"0,75",1 g/l,05/2019,43,12/2022,
330,Metodo Champenoise,RM,Clement Leclere-Minard,,,,Champagne,Les Carillons,,100% Chard,NV (2019),"0,75",pas dosè,08/2020,34,04/2023,
331,Metodo Champenoise,RM,Coessens ,,,,Champagne,Exogyre,,100% PN,NV (solera),"0,75",?,?,?,?,
332,Metodo Champenoise,RM,Coessens ,,,,Champagne,Largillier,,100% PN,2017,"0,75",,,,,
333,Metodo Champenoise,MA,Cohesion,,,,Champagne,Cuvee les Gastronomes,,100% Meu,NV (2019/18/17),"0,75","4,5 g/l",,24,,
334,Metodo Champenoise,RM,Colin,,,,Champagne,Parallele,,100% Chard,NV (base 19),"0,75",3 g/l,2021,,03/2022,
335,Metodo Champenoise,RM,Collard-Picard,,,,Champagne,Racines,,100% Meu,NV (base 2016),"0,75",3 g/l,03/2017,74,05/2023,
336,Metodo Champenoise,RM,Corbon,,,,Champagne,Avize Grand Cru,,100% Chard,2014,"0,75",,,,,
337,Metodo Champenoise,NM,Cose,,,,Champagne,Champion R.22,,100% Chard,NV (2022),"0,75",,,15,07/2024,Cordero
